,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
31,Nioro,0,GM,1571631974,44,13.79,-15.05,78.42,7.16
32,Aswan,0,EG,1571631975,25,24.09,32.9,73.4,6.93
33,Nizhniy Baskunchak,0,RU,1571631977,83,48.22,46.83,48.68,6.08
34,Grindavik,90,IS,1571631978,93,63.84,-22.43,42.8,18.34
35,Hithadhoo,43,MV,1571631979,75,-0.6,73.08,80.79,11.34
36,Enshi,100,CN,1571631981,88,30.29,109.48,57.47,3.78
37,Mar del Plata,100,AR,1571631982,38,-46.43,-67.52,57.72,20.58
38,Hamilton,5,CA,1571631984,100,43.26,-79.87,50.0,3.36
39,Guane,93,CU,1571631985,80,22.2,-84.09,82.11,11.14
40,Bluff,0,AU,1571631986,28,-23.58,149.07,85.13,12.08
41,Hermanus,100,ZA,1571631988,86,-34.42,19.24,57.99,3.0
42,High Level,90,CA,1571631989,92,58.52,-117.13,33.8,1.5
43,Provideniya,90,RU,1571631990,69,64.42,-173.23,33.8,15.66
44,Mkushi,0,ZM,1571631992,42,-13.61,29.4,65.04,6.46
45,Vostok,85,RU,1571631993,69,46.45,135.83,50.27,9.78
46,Nome,40,US,1571631994,94,30.04,-94.42,82.99,6.93
47,Beringovskiy,100,RU,1571631996,76,63.05,179.32,19.45,6.73
48,Tornio,90,FI,1571631997,100,61.12,27.27,42.8,6.93
49,Deputatskiy,68,RU,1571631998,96,69.3,139.9,6.29,1.9
50,Myitkyina,0,MM,1571632000,64,25.38,97.4,79.44,3.11
51,Artyom,0,RU,1571632001,25,43.36,132.19,66.2,8.95
52,Avarua,0,CK,1571632002,83,-21.21,-159.78,77.0,10.29
53,Port Lincoln,100,AU,1571632004,71,-34.72,135.86,63.32,7.18
54,Saint George,40,GR,1571632005,100,39.45,22.34,57.2,1.01
55,Santa Ana,0,MX,1571632006,44,30.54,-111.12,69.01,1.01
56,Moctezuma,0,MX,1571632008,32,29.81,-109.68,63.77,4.29
57,Baghdad,20,IQ,1571632009,53,33.3,44.38,71.6,6.93
58,Fortuna,1,US,1571632010,81,40.6,-124.16,53.6,5.03
59,Te Anau,86,NZ,1571632012,86,-45.41,167.72,40.44,9.35
60,Saskylakh,100,RU,1571632013,86,71.97,114.09,8.31,11.14
61,Taicheng,0,CN,1571632014,65,22.25,112.8,84.0,1.01
62,Port Augusta,100,AU,1571632016,31,-32.49,137.76,82.0,10.29
63,Torbay,75,CA,1571632017,86,47.66,-52.73,43.0,13.87
64,Ushuaia,13,AR,1571632018,93,-54.81,-68.31,29.6,4.21
65,Clyde River,90,CA,1571632020,86,70.47,-68.59,28.4,13.87
66,Dunda,0,IN,1571632021,64,30.62,78.32,71.6,5.28
67,Harper,90,US,1571632023,74,30.3,-99.24,79.0,6.93
68,Constitucion,100,MX,1571632024,77,23.99,-104.67,64.99,4.0
69,Zhezkazgan,0,KZ,1571632025,73,47.8,67.71,23.0,17.9
70,Los Llanos de Aridane,75,ES,1571632027,64,28.66,-17.92,68.0,11.41
71,Ust-Nera,14,RU,1571632028,91,64.57,143.24,11.67,1.14
72,Castro,75,CL,1571632030,93,-42.48,-73.76,41.0,5.82
73,Atuona,2,PF,1571632031,74,-9.8,-139.03,79.44,12.46
74,Arequipa,0,PE,1571632032,43,-16.4,-71.54,50.0,2.24
75,Vaini,75,IN,1571632034,88,15.34,74.49,73.4,2.24
76,Talnakh,75,RU,1571632035,92,69.49,88.39,19.4,15.66
77,Bambous Virieux,90,MU,1571632036,88,-20.34,57.76,75.0,13.87
78,Katsuura,90,JP,1571632038,77,33.93,134.5,68.0,8.05
79,Sorland,75,NO,1571632039,100,67.67,12.69,35.6,2.24
80,Qaanaaq,0,GL,1571632041,47,77.48,-69.36,1.22,11.21
81,Puerto Cabezas,0,NI,1571632042,95,14.04,-83.39,76.46,2.35
82,Namatanai,77,PG,1571632043,69,-3.66,152.44,83.75,8.75
83,Gao,88,ML,1571632045,37,16.28,-0.04,88.7,7.78
84,Shahpur,42,IN,1571632046,82,22.19,77.91,72.14,5.17
85,Saint-Jovite,20,CA,1571632048,100,46.12,-74.6,37.4,2.24
86,Intipuca,94,SV,1571632049,75,13.2,-88.05,83.12,7.31
87,Wattegama,100,LK,1571632050,95,7.35,80.68,71.34,3.11
88,Kapaa,90,US,1571632052,78,22.08,-159.32,82.4,8.05
89,Kruisfontein,97,ZA,1571632053,92,-34.0,24.73,55.29,10.65
90,Sorong,100,ID,1571632054,85,-0.86,131.25,81.32,5.44
91,Cabedelo,40,BR,1571632056,88,-6.97,-34.84,75.2,5.7
92,Victoria,75,BN,1571632057,55,5.28,115.24,91.4,3.36
93,Lata,2,IN,1571632058,40,30.78,78.62,32.72,2.59
94,Esperance,75,AU,1571632060,68,-33.86,121.89,68.0,14.99
95,Segezha,100,RU,1571632061,94,63.74,34.31,32.0,4.65
96,Beloha,0,MG,1571632062,65,-25.17,45.06,68.82,2.21
97,Hofn,100,IS,1571632064,99,64.25,-15.21,35.27,10.92
98,Khatanga,100,RU,1571632066,94,71.98,102.47,19.63,15.21
99,Champerico,40,MX,1571632067,88,16.38,-93.6,75.2,1.95
100,Port Elizabeth,90,US,1571632068,87,39.31,-74.98,55.99,11.41
101,Tiksi,61,RU,1571632069,90,71.64,128.87,2.4,6.46
102,Georgetown,40,GY,1571632071,94,6.8,-58.16,77.0,4.7
103,Wakkanai,20,JP,1571632072,63,45.41,141.67,64.4,17.22
104,Verkhniy Mamon,85,RU,1571632073,89,50.17,40.4,49.82,5.14
105,Ponta do Sol,17,BR,1571632075,81,-20.63,-46.0,68.63,1.3
106,Oussouye,0,SN,1571632076,94,12.49,-16.54,80.6,6.82
107,Nikolskoye,90,RU,1571632077,87,59.7,30.79,51.8,6.71
108,Klaksvik,100,FO,1571632079,81,62.23,-6.59,46.4,19.46
109,Hervey Bay,22,AU,1571632080,44,-25.3,152.85,80.01,23.04
110,Geraldton,20,CA,1571632081,88,49.72,-86.95,32.0,2.24
111,Pisco,0,PE,1571632083,82,-13.71,-76.2,62.6,6.93
112,Havelock,90,US,1571632084,82,34.88,-76.9,62.6,11.41
113,Presidencia Roque Saenz Pena,97,AR,1571632086,97,-26.79,-60.44,54.73,4.43
114,Iqaluit,90,CA,1571632087,86,63.75,-68.52,30.2,18.34
115,Imeni Morozova,90,RU,1571632088,87,59.98,31.04,51.8,6.71
116,Chokurdakh,85,RU,1571632090,95,70.62,147.9,2.8,4.25
117,Diu,100,IN,1571632091,74,20.71,70.98,77.93,12.15
118,Paris,90,FR,1571632092,93,48.86,2.35,51.8,8.05
119,Namur,75,BE,1571632094,93,50.47,4.87,53.01,6.93
120,Vao,100,EE,1571632095,89,59.1,26.19,49.37,14.07
121,Hilo,90,US,1571632096,69,19.71,-155.08,80.6,4.7
122,East London,0,ZA,1571632098,72,-33.02,27.91,64.4,8.05
123,Moratuwa,40,LK,1571632099,94,6.77,79.88,77.0,3.36
124,Niquelandia,95,BR,1571632100,85,-14.47,-48.46,72.01,5.59
125,Carnarvon,0,ZA,1571632102,47,-30.97,22.13,53.04,15.84
126,Saint Anthony,1,US,1571632103,64,43.97,-111.68,37.4,14.99
127,Naze,100,NG,1571632104,96,5.43,7.07,73.13,2.62
128,Faanui,80,PF,1571632106,75,-16.48,-151.75,80.06,5.59
129,Arraial do Cabo,77,BR,1571632107,70,-22.97,-42.02,69.56,10.96
130,Wanaka,82,NZ,1571632108,62,-44.7,169.14,43.21,12.48
131,Kadom,89,RU,1571632110,95,54.57,42.47,49.71,8.57
132,Mahebourg,90,MU,1571632111,88,-20.41,57.7,75.0,13.87
133,Saldanha,0,PT,1571632112,91,41.42,-6.55,44.81,1.66
134,Carutapera,100,BR,1571632114,85,-1.2,-46.02,78.11,5.35
135,Quatre Cocos,90,MU,1571632115,88,-20.21,57.76,75.0,13.87
136,Ribeira Grande,52,PT,1571632116,61,38.52,-28.7,65.33,8.81
137,Bathsheba,20,BB,1571632118,88,13.22,-59.52,77.0,4.7
138,Norman Wells,75,CA,1571632119,100,65.28,-126.83,24.8,2.24
139,Biak,9,ID,1571632120,57,-0.91,122.88,76.51,7.54
140,Monrovia,40,LR,1571632122,94,6.33,-10.8,77.0,3.4
141,Cockburn Town,100,TC,1571632123,79,21.46,-71.14,83.78,16.71
142,Narsaq,0,GL,1571632124,19,60.91,-46.05,48.2,20.8
143,North Platte,90,US,1571632126,67,41.12,-100.77,42.8,25.28
144,Lufilufi,6,WS,1571632127,79,-13.87,-171.6,84.0,17.0
145,Karratha,59,AU,1571632128,18,-20.74,116.85,99.51,14.34
146,Gloversville,75,US,1571632130,100,43.05,-74.34,46.0,4.7
147,Rach Gia,40,VN,1571632131,66,10.02,105.08,89.6,9.17
148,Kurilsk,68,RU,1571632132,86,45.23,147.88,51.4,9.26
149,Nabire,94,ID,1571632134,81,-3.36,135.5,81.28,0.78
150,Macapa,0,BR,1571632135,100,0.05,-51.07,80.6,4.7
151,Stephenville,75,CA,1571632136,81,48.55,-58.59,44.6,11.41
152,Berlevag,0,NO,1571632138,70,70.86,29.09,32.0,24.16
153,Toamasina,75,MG,1571632139,88,-18.17,49.38,73.4,4.7
154,Puerto Escondido,40,MX,1571632140,69,15.86,-97.07,78.8,5.82
155,Pevek,98,RU,1571632142,72,69.7,170.27,27.78,12.77
156,Adrar,0,DZ,1571632143,30,27.87,-0.29,68.0,6.93
157,Touros,75,BR,1571632145,83,-5.2,-35.46,75.2,4.7
158,Ilulissat,89,GL,1571632146,62,69.22,-51.1,19.4,2.24
159,Hasaki,75,JP,1571632148,68,35.73,140.83,66.99,12.75
160,Newton,90,US,1571632149,87,42.34,-71.21,54.0,3.29
161,Lompoc,1,US,1571632150,71,34.64,-120.46,69.8,11.41
162,Kaitangata,100,NZ,1571632152,53,-46.28,169.85,52.0,15.99
163,Podolsk,0,RU,1571632153,87,55.43,37.55,53.6,6.71
164,Pasighat,97,IN,1571632154,76,28.06,95.33,70.35,1.23
165,Ketchikan,1,US,1571632156,93,55.34,-131.65,41.0,8.05
166,Thompson,90,CA,1571632157,85,55.74,-97.86,33.8,3.36
167,Kailua,75,US,1571632158,69,21.39,-157.74,82.4,4.7
168,Taubate,75,BR,1571632160,67,-23.03,-45.56,62.6,18.34
169,Codrington,0,AU,1571632161,38,-28.95,153.24,75.2,16.11
170,Tuatapere,100,NZ,1571632162,76,-46.13,167.69,48.0,14.0
171,Saint Stephen,40,US,1571632164,50,45.7,-94.27,57.2,9.17
172,Hambantota,75,LK,1571632165,94,6.12,81.12,80.6,6.93
173,Khani,90,GE,1571632166,100,41.96,42.96,55.4,3.36
174,Great Yarmouth,100,GB,1571632168,87,52.61,1.73,55.99,10.29
175,Ojdula,0,RO,1571632169,84,45.99,26.26,45.0,1.32
176,San Quintin,50,PH,1571632170,61,17.54,120.52,86.28,3.33
177,Portland,20,US,1571632172,87,43.66,-70.25,48.99,3.36
178,Khurda,40,IN,1571632173,74,20.18,85.62,84.2,4.7
179,Ipira,100,BR,1571632174,96,-27.41,-51.77,59.86,2.73
180,Caninde de Sao Francisco,0,BR,1571632176,83,-9.66,-37.79,72.26,6.06
181,Sao Filipe,87,CV,1571632177,85,14.9,-24.5,77.68,20.2
182,Ushtobe,100,KZ,1571632178,51,45.25,77.98,33.26,19.22
183,Laguna,0,BZ,1571632180,94,16.17,-88.94,78.8,3.15
184,Port-Gentil,99,GA,1571632181,83,-0.72,8.78,77.46,0.25
185,Faya,0,SA,1571632182,33,18.39,42.45,59.0,3.31
186,Upernavik,74,GL,1571632184,77,72.79,-56.15,17.85,7.23
187,Oistins,20,BB,1571632185,88,13.07,-59.53,77.0,4.7
188,Kodiak,90,US,1571632186,93,39.95,-94.76,59.0,8.05
189,Paamiut,0,GL,1571632188,62,61.99,-49.67,39.9,12.33
190,Ulkan,0,RU,1571632189,58,57.24,107.32,25.79,4.12
191,Coquimbo,0,CL,1571632190,71,-29.95,-71.34,53.01,11.52
192,Comodoro Rivadavia,0,AR,1571632192,45,-45.87,-67.48,62.6,4.7
193,Kirakira,83,SB,1571632193,78,-10.46,161.92,82.7,7.63
194,Acapulco,75,MX,1571632195,88,16.86,-99.88,80.6,5.82
195,Ambunti,18,PG,1571632196,42,-4.22,142.82,97.91,0.89
196,Lakeway,90,US,1571632197,88,30.36,-97.99,80.01,8.05
197,Hastings,2,NZ,1571632199,49,-39.64,176.84,61.21,14.0
198,Shibetsu,20,JP,1571632200,39,44.15,142.46,62.6,2.24
199,Avera,1,US,1571632201,100,33.19,-82.53,64.4,3.36
200,Bijar,12,IR,1571632203,61,35.87,47.6,54.07,5.23
201,Ambilobe,3,MG,1571632204,38,-13.19,49.05,88.54,6.2
202,Olinda,8,AU,1571632206,58,-37.84,145.39,66.99,10.29
203,Vila Franca do Campo,40,PT,1571632207,72,37.72,-25.43,60.8,8.05
204,Nanortalik,89,GL,1571632209,62,60.14,-45.24,38.38,6.44
205,Dwarka,20,IN,1571632210,60,28.58,77.04,84.99,4.7
206,Bloomfield,20,US,1571632211,100,40.75,-92.42,57.2,8.05
207,Lieksa,100,FI,1571632213,96,63.32,30.02,33.61,4.74
208,Taksimo,100,RU,1571632214,82,56.36,114.84,18.96,7.38
209,Erenhot,6,CN,1571632215,18,43.65,111.97,57.39,16.44
210,Gat,0,SN,1571632217,88,14.69,-16.54,77.0,6.93
211,Actopan,41,MX,1571632218,75,20.27,-98.94,62.07,4.18
212,Busselton,0,AU,1571632219,38,-33.64,115.35,77.0,11.27
213,Tra Vinh,75,VN,1571632220,54,9.93,106.35,90.92,11.27
214,Grand Bank,8,CA,1571632222,2,47.1,-55.77,46.99,4.0
215,Koslan,100,RU,1571632223,89,63.46,48.9,32.94,5.28
216,Darnah,100,LY,1571632224,78,32.77,22.64,72.87,10.2
217,Aksarka,14,RU,1571632226,74,66.56,67.8,26.46,1.43
218,Kenai,90,US,1571632227,86,60.55,-151.26,42.01,5.82
219,Muyezerskiy,99,RU,1571632228,97,63.93,31.65,31.56,3.36
220,Henties Bay,0,NA,1571632230,90,-22.12,14.28,60.01,5.99
221,Chalon-sur-Saone,89,FR,1571632231,100,46.78,4.85,55.99,8.05
222,Paraiso,0,BR,1571632232,100,-0.03,-51.17,80.6,4.7
223,The Valley,20,AI,1571632234,78,18.22,-63.06,82.4,5.82
224,Zelenoborskiy,63,RU,1571632235,85,66.84,32.36,23.0,2.08
225,Buraydah,20,SA,1571632236,37,26.33,43.97,69.8,3.36
226,Los Lunas,1,US,1571632238,14,34.81,-106.76,48.2,3.36
227,Cabo San Lucas,75,MX,1571632239,69,22.89,-109.91,79.0,4.7
228,Saint-Philippe,1,CA,1571632240,100,45.36,-73.48,45.0,3.36
229,Fairbanks,75,US,1571632242,74,64.84,-147.72,35.01,4.7
230,Bucerias,90,MX,1571632243,100,20.76,-105.33,75.99,4.7
231,Tiruvallur,90,IN,1571632245,100,13.15,79.92,79.0,3.36
232,Kloulklubed,75,PW,1571632246,79,7.04,134.26,84.2,5.82
233,Lebu,2,ET,1571632247,64,8.96,38.73,60.61,3.56
234,Norsup,40,VU,1571632249,79,-16.07,167.38,86.0,10.29
235,Soria,31,ES,1571632250,95,41.76,-2.46,34.0,1.12
236,Nha Trang,20,VN,1571632251,62,12.24,109.19,89.6,12.75
237,Badin,34,PK,1571632253,30,24.66,68.84,92.38,1.41
238,Kanye,0,BW,1571632254,12,-24.98,25.34,83.79,10.2
239,Maragogi,73,BR,1571632256,83,-9.01,-35.22,72.88,3.8
240,Severo-Kurilsk,3,RU,1571632257,72,50.68,156.12,42.48,13.29
241,Verkhniye Sergi,100,RU,1571632258,88,56.65,59.56,33.57,11.36
242,Barbacena,83,BR,1571632260,93,-21.23,-43.77,56.38,5.1
243,Tuktoyaktuk,40,CA,1571632261,85,69.44,-133.03,19.4,9.17
244,Abay,40,KZ,1571632262,79,49.63,72.87,21.2,15.66
245,Senador Guiomard,0,BR,1571632264,100,-10.15,-67.74,73.4,1.72
246,Casale Monferrato,75,IT,1571632265,100,45.14,8.45,61.0,5.82
247,Kathu,11,ZA,1571632266,31,-27.7,23.05,61.0,4.0
248,Fukue,75,JP,1571632268,68,35.03,136.69,69.8,2.24
249,Kamenka,0,MD,1571632269,94,48.03,28.7,46.0,4.88
250,Nelson Bay,0,AU,1571632270,53,-32.72,152.14,71.6,16.11
251,Svoge,0,BG,1571632272,93,42.96,23.35,53.01,2.24
252,Pangnirtung,30,CA,1571632273,48,66.15,-65.72,18.15,2.55
253,Namibe,60,AO,1571632274,85,-15.19,12.15,69.07,2.73
254,Chicama,90,PE,1571632276,87,-7.84,-79.15,60.8,9.17
255,Knysna,75,ZA,1571632277,82,-34.04,23.05,55.4,13.87
256,Rocha,100,UY,1571632278,93,-34.48,-54.34,51.23,1.99
257,Srednekolymsk,85,RU,1571632280,95,67.46,153.71,12.55,4.5
258,La Ronge,90,CA,1571632281,86,55.1,-105.3,33.8,3.36
259,Bembereke,25,BJ,1571632283,95,10.23,2.66,70.29,3.62
260,Demba,24,CD,1571632284,83,-5.47,22.27,72.69,2.3
261,Puerto Baquerizo Moreno,100,EC,1571632285,84,-0.9,-89.6,68.28,13.67
262,San Patricio,97,PY,1571632287,98,-26.98,-56.83,59.74,3.38
263,Dingle,100,PH,1571632288,79,11.0,122.67,83.41,9.06
264,Tiarei,75,PF,1571632290,78,-17.53,-149.33,82.0,6.93
265,Brekstad,75,NO,1571632291,86,63.69,9.67,44.01,4.7
266,Sinnamary,3,GF,1571632292,80,5.38,-52.96,80.98,11.34
267,Kaputa,83,ZM,1571632294,68,-8.47,29.66,75.55,2.33
268,Kuala Terengganu,75,MY,1571632295,84,5.33,103.14,86.0,3.36
269,Calama,0,CL,1571632296,28,-22.46,-68.93,50.0,16.11
270,Homer,90,US,1571632298,87,59.64,-151.54,43.0,16.08
271,Stoughton,75,CA,1571632299,80,49.68,-103.03,30.2,5.82
272,Salalah,30,OM,1571632300,31,17.01,54.1,87.73,8.79
273,Luderitz,0,NA,1571632302,75,-26.65,15.16,58.34,22.84
274,Ballina,100,IE,1571632303,88,54.11,-9.15,48.0,4.47
275,Sao Felix do Xingu,29,BR,1571632304,95,-6.64,-51.99,70.44,0.27
276,Tomatlan,100,MX,1571632306,81,19.93,-105.25,75.71,3.78
277,Ingham,56,AU,1571632307,62,-18.65,146.16,78.27,8.05
278,Luis Correia,53,BR,1571632308,87,-2.88,-41.67,75.44,3.49
279,Porto Novo,75,BR,1571632310,67,-23.68,-45.44,62.6,18.34
280,Basco,20,US,1571632311,87,40.33,-91.2,57.0,9.17
281,Aden,78,YE,1571632312,49,12.79,45.03,87.01,12.55
282,Anshun,100,CN,1571632314,95,26.25,105.93,59.02,4.99
283,Escarcega,20,MX,1571632315,91,18.61,-90.75,76.47,5.93
284,Ambanja,75,MG,1571632317,78,-13.68,48.45,78.8,6.49
285,Maine-Soroa,95,NE,1571632318,43,13.21,12.02,86.42,13.42
286,Darab,5,IR,1571632319,39,28.75,54.55,66.4,5.28
287,Nantucket,75,US,1571632321,93,41.28,-70.1,55.99,8.05
288,Praia da Vitoria,40,PT,1571632322,72,38.73,-27.07,62.6,9.93
289,Voskresenskoye,100,RU,1571632323,94,56.84,45.43,52.06,8.03
290,Miracema do Tocantins,96,BR,1571632325,88,-9.56,-48.4,74.67,2.42
291,Lae,20,PG,1571632326,43,-6.72,146.98,91.4,12.75
292,Kawalu,23,ID,1571632327,40,-7.38,108.21,88.17,9.86
293,Sitka,42,US,1571632329,44,37.17,-99.65,52.0,15.99
294,Yeppoon,40,AU,1571632330,42,-23.13,150.74,82.4,14.99
295,Ruidoso,1,US,1571632331,26,33.33,-105.67,64.99,5.82
296,Porto Feliz,0,BR,1571632332,72,-23.21,-47.52,62.01,14.99
297,Dhrol,94,IN,1571632334,83,22.57,70.42,82.99,5.82
298,Lindi,75,TZ,1571632335,94,-10.0,39.71,75.2,5.82
299,Lagoa,0,PT,1571632337,87,37.14,-8.45,54.0,7.27
300,Aras,0,ES,1571632338,93,42.56,-2.36,45.0,1.12
301,Cayenne,32,GF,1571632339,94,4.94,-52.33,75.2,3.49
302,Cao Bang,75,VN,1571632341,68,22.67,106.25,77.74,4.25
303,Saint-Pierre,90,FR,1571632342,81,48.95,4.24,57.2,23.04
304,Yabrud,10,SY,1571632343,87,33.97,36.66,53.6,3.36
305,Kahului,40,US,1571632345,62,20.89,-156.47,84.2,5.82
306,San Cristobal,58,HN,1571632346,94,14.68,-86.92,65.54,2.93
307,Wukari,99,NG,1571632347,92,7.87,9.78,72.67,3.53
308,Les Cayes,57,HT,1571632349,74,18.19,-73.75,82.8,9.15
309,Bouca,100,CF,1571632350,97,6.51,18.28,70.83,2.21
310,Port Alfred,81,ZA,1571632352,89,-33.59,26.89,60.01,7.0
311,Turki,62,RU,1571632353,80,51.98,43.27,52.67,10.36
312,Sistranda,75,NO,1571632354,86,63.73,8.83,44.01,4.7
313,Viedma,99,AR,1571632356,48,-40.81,-62.99,63.2,34.27
314,Susuman,5,RU,1571632357,91,62.78,148.15,7.98,1.36
315,San Jeronimo,99,PE,1571632358,91,-13.65,-73.37,48.98,1.12
316,Raduzhnyy,100,RU,1571632360,88,62.1,77.47,24.77,17.69
317,Vardo,90,US,1571632361,87,39.62,-77.74,54.0,5.82
318,Panguna,58,PG,1571632362,65,-6.32,155.48,85.0,2.1
319,Port Blair,75,IN,1571632364,94,11.67,92.75,77.0,4.7
320,Goure,23,NE,1571632365,37,13.98,10.27,80.01,8.39
321,Karatuzskoye,6,RU,1571632366,48,53.61,92.87,27.27,9.84
322,Pozo Colorado,97,PY,1571632368,78,-23.49,-58.8,67.77,9.33
323,Williams Lake,75,CA,1571632369,93,52.13,-122.14,35.6,6.93
324,La Primavera,0,AR,1571632370,54,-32.92,-68.67,59.0,5.82
325,San Juan,0,AR,1571632372,37,-31.54,-68.53,51.09,2.15
326,Marystown,41,CA,1571632373,2,47.17,-55.16,46.99,4.0
327,Astana,75,KZ,1571632374,73,51.13,71.43,23.0,6.71
328,Vanavara,99,RU,1571632376,75,60.35,102.28,24.64,5.14
329,Guadalupe Victoria,100,MX,1571632377,91,21.68,-105.33,76.11,15.88
330,Xihe,100,CN,1571632378,75,34.02,105.29,52.44,5.79
331,Coihaique,0,CL,1571632380,93,-45.58,-72.07,39.2,2.24
332,Giresun,75,TR,1571632381,93,40.91,38.39,62.6,4.7
333,Imeni Poliny Osipenko,100,RU,1571632382,82,52.42,136.49,43.22,4.25
334,Tolaga Bay,3,NZ,1571632384,65,-38.37,178.3,57.44,6.6
335,Petatlan,74,MX,1571632385,80,17.52,-101.27,80.39,6.8
336,Wajima,75,JP,1571632387,77,37.4,136.9,62.6,12.75
337,Goderich,36,CA,1571632388,86,43.74,-81.71,45.0,10.04
338,Qasigiannguit,46,GL,1571632389,62,68.82,-51.19,19.4,2.24
339,Kurchum,0,KZ,1571632391,51,48.57,83.65,29.72,12.35
340,Bubaque,91,GW,1571632392,84,11.28,-15.83,81.24,8.84
341,Lasa,20,CY,1571632393,63,34.92,32.53,66.2,8.05
342,Misasi,20,TZ,1571632395,88,-3.01,33.09,69.8,11.41
343,Nouadhibou,59,MR,1571632396,88,20.93,-17.03,68.0,14.99
344,Port Hedland,20,AU,1571632397,16,-20.31,118.58,104.0,12.75
345,Erdenet,100,MN,1571632399,90,49.03,104.04,31.27,5.79
346,Manzanillo,100,MX,1571632400,80,19.05,-104.32,78.73,3.42
347,Siocon,77,PH,1571632401,61,11.03,124.04,88.2,1.72
348,Pacific Grove,1,US,1571632403,63,36.62,-121.92,62.01,4.7
349,Amapa,40,HN,1571632404,83,15.09,-87.97,82.4,4.7
350,Missoula,90,US,1571632405,60,46.87,-114.0,41.0,3.36
351,Ninh Binh,66,VN,1571632407,58,20.25,105.97,84.24,4.7
352,Tautira,75,PF,1571632408,78,-17.73,-149.15,82.0,6.93
353,Jequitinhonha,100,BR,1571632409,95,-16.43,-41.0,68.2,2.46
354,Mount Gambier,0,AU,1571632412,59,-37.83,140.78,62.6,8.05
355,Vernon,90,CA,1571632413,100,50.27,-119.27,39.99,1.66
356,Kochi,90,IN,1571632415,94,9.96,76.25,75.2,9.17
357,Walvis Bay,90,NA,1571632416,93,-22.95,14.51,60.01,10.29
358,Morondava,18,MG,1571632417,75,-20.3,44.28,78.77,4.47
359,Bud,40,NO,1571632419,86,62.91,6.91,41.0,6.93
360,Souillac,90,FR,1571632420,100,45.6,-0.6,48.0,3.36
361,Beinamar,100,TD,1571632421,96,8.67,15.38,70.33,4.34
362,Helong,0,CN,1571632423,20,25.94,116.13,82.44,5.19
363,Machico,40,PT,1571632424,59,32.7,-16.77,66.2,5.82
364,Lavrentiya,100,RU,1571632425,97,65.58,-170.99,24.75,5.93
365,Vysokogornyy,79,RU,1571632427,69,50.1,139.13,47.22,7.29
366,Palembang,75,ID,1571632428,55,-2.99,104.76,89.6,11.41
367,Sovetskiy,100,RU,1571632429,98,56.76,48.47,49.56,9.82
368,Tralee,90,US,1571632430,100,37.56,-81.4,57.2,3.04
369,Blyth,40,GB,1571632432,100,55.12,-1.5,48.99,8.05
370,Hagerstown,90,US,1571632433,87,39.64,-77.72,54.0,5.82
371,Verkhnyaya Inta,3,RU,1571632434,89,65.99,60.32,21.01,8.16
372,Zhireken,99,RU,1571632436,74,52.82,117.29,27.83,12.95
373,Iguguno,22,TZ,1571632437,39,-4.57,34.63,76.74,11.99
